quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,1913,0,0,0,6,21,362,416,240,56170,5.463867,5.808594,4.730469,8.140625,3.175781,3.264270,14.425781,17.695312,68.430336,3.601562,7.750000,22.380310,104.515625,21998.000000,21355.000000,1
22,461,0,0,0,0,20,52,416,240,56170,0.660156,1.804688,0.625000,0.000000,0.210938,0.487198,2.018555,3.229492,9.138412,3.171875,8.562500,39.579834,149.027344,21876.000000,23128.000000,1
22,694,0,0,1,9,10,136,416,240,56170,1.766602,0.214844,1.980469,0.437500,4.433594,2.833262,4.650391,5.857422,17.249237,0.718750,4.109375,0.858398,16.816162,18843.000000,20433.000000,1
22,504,0,2,1,3,5,90,416,240,56170,1.693359,0.000000,0.656250,1.199219,4.917969,3.646336,3.007812,4.931641,36.644253,0.953125,2.312500,2.013428,12.027344,8286.000000,8988.000000,1
22,1509,0,0,0,9,16,320,416,240,56170,4.370117,7.371094,3.308594,2.082031,4.718750,3.872394,10.127930,11.819336,50.012428,4.187500,3.328125,14.652344,9.407959,17141.000000,17992.000000,1
22,720,0,0,2,12,7,144,416,240,56170,1.980469,0.000000,4.261719,0.000000,3.660156,3.967491,5.386719,4.890625,16.941025,1.953125,2.015625,7.857178,8.452881,11080.000000,13547.000000,1
22,682,0,0,0,3,14,131,416,240,56170,1.643555,3.437500,1.871094,1.265625,0.000000,1.528529,5.083984,5.314453,14.975486,2.250000,3.687500,4.031250,14.652344,19068.000000,22655.000000,0
22,42,0,1,3,0,0,0,416,240,56170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.656250,0.125000,0.000000,0.875000,2.250000,1.359375,8.437500,2240.000000,3373.000000,1
22,524,0,1,0,3,9,103,416,240,56170,1.318359,2.089844,0.000000,3.183594,0.000000,1.887608,4.048828,3.890625,9.595913,0.382812,3.281250,0.486267,9.342773,8328.000000,9417.000000,1
22,1580,0,1,2,6,3,342,416,240,56170,5.161133,5.800781,5.878906,4.535156,4.429688,0.462802,13.394531,14.638672,37.459389,0.531250,2.593750,0.624023,8.209961,13422.000000,14719.000000,1
22,1536,0,1,0,3,11,354,416,240,56170,4.501953,3.394531,6.210938,5.035156,3.367188,1.429752,10.991211,11.524414,33.972652,1.687500,2.843750,2.964844,8.319336,19906.000000,16055.000000,1
22,1077,0,1,2,6,2,198,416,240,56170,3.681641,7.589844,3.320312,3.605469,0.210938,6.864048,8.618164,12.350586,146.459198,3.906250,1.937500,15.397461,3.933594,14618.000000,15707.000000,1
22,1057,0,0,0,18,14,187,416,240,56170,2.938477,2.027344,0.000000,3.531250,6.195312,5.105792,9.802734,11.099609,49.792114,2.617188,1.937500,8.486267,4.792969,5424.000000,5419.000000,1
22,420,0,0,1,9,15,52,416,240,56170,0.567383,0.238281,2.031250,0.000000,0.000000,0.723765,2.604492,2.040039,4.794288,2.156250,2.515625,8.850586,42.187256,8194.000000,8533.000000,1
22,511,0,1,2,3,5,105,416,240,56170,1.568359,0.000000,0.000000,2.007812,4.265625,3.096966,4.042969,5.484375,17.270718,0.953125,1.968750,1.294678,4.530273,7281.000000,8823.000000,1
22,987,0,0,0,12,10,201,416,240,56170,2.903320,3.546875,3.269531,1.230469,3.566406,0.946597,7.389648,9.817383,19.886162,0.218750,2.437500,0.170898,4.027344,9248.000000,9854.000000,1
22,496,0,0,0,27,9,85,416,240,56170,1.178711,0.441406,1.441406,2.027344,0.804688,0.368175,4.475586,5.477539,8.304976,0.562500,1.421875,0.746094,3.993896,12426.000000,13763.000000,1
22,410,0,1,0,12,9,71,416,240,56170,0.849609,0.000000,0.265625,2.089844,1.042969,0.659611,2.888672,3.185547,7.801601,0.757812,0.992188,1.761658,3.210876,5431.000000,7977.000000,1
22,78,0,0,2,0,4,4,416,240,56170,0.042969,0.000000,0.171875,0.000000,0.000000,0.005539,0.126953,0.138672,0.312607,3.812500,1.062500,14.652344,1.183594,2669.000000,4537.000000,1
